,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,0.202918567371168,3.72365997702963,1.84271848085244,0.174632658634819,0.293323645543104
2,AT1G01020,-0.205178975226329,3.56819107446533,1.30607410757318,0.253106691601267,0.386181715507072
3,AT1G01030,-0.290206496890627,2.04112873149193,1.34084195148005,0.246885542953108,0.378926051626334
4,AT1G01040,-0.143277561967492,5.97841603332373,1.19771517538693,0.273778819773393,0.408720929603955
5,AT1G01050,-0.361673801936818,6.33499592021409,8.53228499745273,0.00348901393193134,0.0131865941064383
6,AT1G01060,0.096604791367914,9.5584386240738,0.479838577999866,0.488495443249273,0.621585648952136
7,AT1G01070,-0.513506571716639,4.57587412376957,12.9111360725104,0.00032663298098476,0.00188109007440802
9,AT1G01080,-0.465383070392453,5.1530120580808,10.0143395751369,0.00155326103180073,0.00676269883202787
10,AT1G01090,-0.401736461623994,7.48572926725382,9.18144474233439,0.0024448096310492,0.00983444390296241
11,AT1G01100,0.0740233893135707,7.51589349629533,0.27449709416598,0.600330912476462,0.715248413060671
12,AT1G01110,-0.442236296358292,2.72259239763844,4.1097407151951,0.0426368986575932,0.098739306821315
14,AT1G01120,-0.107928722520947,6.48833599881753,0.422273980636085,0.51580454760902,0.644687259286811
15,AT1G01130,0.571709765736231,1.30023682192484,3.76231849649194,0.0524198457381893,0.115815868971477
16,AT1G01140,-0.204810710577277,5.74374768377428,1.85370219640506,0.173353420240773,0.291613962520564
17,AT1G01150,0.798172497992931,-0.788470169290715,0.588119249304622,0.443147316253818,0.581041560939181
18,AT1G01160,-0.111467705989594,4.8615321215036,1.09781751270832,0.29474556839103,0.431692089562073
19,AT1G01170,-0.477754778681469,4.69131161327701,17.0128147570281,3.71283864015468e-05,0.000308660652284859
20,AT1G01180,-0.239590649100207,4.50476545359833,1.72876758220047,0.188568365237496,0.310917070441758
21,AT1G01190,1.07126031963676,2.85978025349281,7.68586935273624,0.0055654863455456,0.0193795573323294
22,AT1G01200,-0.518171070950914,0.999449117404133,2.27518960290705,0.131459047265897,0.236711147794933
23,AT1G01210,0.0265931701671157,2.40264526844477,0.0219075249966254,0.882333370299195,0.926244682429069
24,AT1G01220,-0.186827736574759,5.01665139720978,2.63758270616488,0.10436222705406,0.198437066222891
25,AT1G01225,-0.252124532850156,1.92004861962573,1.20190624087701,0.272941014790907,0.407901062569787
26,AT1G01230,0.163077487867732,4.23086597967339,1.49433228286586,0.221545496441056,0.350279160132306
27,AT1G01240,-0.831793581866196,5.42327488090151,33.0009716405414,9.21128260999424e-09,3.71942819141463e-07
28,AT1G01250,1.90225587894906,1.3530212743543,22.914154606637,1.69399821924203e-06,2.48347636581686e-05
29,AT1G01260,0.0978568767188762,4.27966297521277,0.594970475842809,0.440503477487976,0.57862845938632
31,AT1G01290,0.42251132604772,3.48371290008784,8.30600994003214,0.00395141035621453,0.0145578637715314
32,AT1G01300,0.535417845283795,5.54897747434117,14.7143717053558,0.000125089190312924,0.000851289163866351
35,AT1G01320,-0.35304799331962,8.79151171599899,5.41653939614729,0.0199468574274926,0.0535664340771999
36,AT1G01340,0.0251481551382268,4.64981692525581,0.0189261744235107,0.890578343316649,0.93208443840877
37,AT1G01350,-0.305025660963015,4.03739968949506,4.22561720164097,0.0398181350678858,0.0936125812691706
38,AT1G01355,-1.34509407652288,-0.685018080962072,2.2349572832942,0.134920352936321,0.241344744063545
39,AT1G01360,0.424083216028109,4.43804499211088,9.16692585195941,0.00246428169146568,0.00988837924993012
40,AT1G01370,-0.180412395990255,1.82196259253836,0.609849223453978,0.434844585820535,0.573826721492902
41,AT1G01380,0.974686848606004,0.502767835796368,6.28756405877503,0.0121588045876269,0.0362320070920864
42,AT1G01390,-0.00230127947653153,2.64800491172426,6.78558552760222e-05,0.993427526944335,0.996058749642575
45,AT1G01420,0.830983637337531,4.32170869560985,10.5690813349849,0.00114994860091286,0.00526063020948462
46,AT1G01430,-0.377586883844528,6.56807587844744,8.0855052007907,0.00446206905318517,0.016114378510813
47,AT1G01440,-0.171679876191078,4.80811417468147,2.15692322501556,0.141928632377687,0.250311570530332
48,AT1G01450,-0.691403864980497,3.65343547084343,10.6126666849915,0.00112315592572913,0.00515474831555138
49,AT1G01453,-0.411246132399293,1.3497173980402,1.46679152950595,0.225852601111687,0.35533941736115
51,AT1G01470,0.0322736846360914,5.05364121155697,0.0532930003436576,0.817429185539416,0.882204551905072
53,AT1G01480,1.94718375476136,2.17403206921751,27.9672402607872,1.23386726349064e-07,3.00652323203886e-06
54,AT1G01490,0.0909612392863601,6.33897092244574,0.723738039684708,0.394920494977541,0.535976042712555
55,AT1G01500,0.43185160597445,2.88268929722232,3.80329496009304,0.0511518300567406,0.11362963904148
56,AT1G01510,-0.135331955342242,5.83089716494508,1.35541118852803,0.244334348593698,0.376181556818781
57,AT1G01520,1.14559981929321,3.49830787116597,28.3681988798955,1.00299455489274e-07,2.54191499167629e-06
59,AT1G01540,-0.636446578493902,6.56794367258331,14.1825319145655,0.000165903548260893,0.00107520309372751
60,AT1G01550,0.278608582891124,7.42774919152373,3.78116917253339,0.0518324308725925,0.114792697666954
61,AT1G01560,1.25554768880369,1.18315911410198,15.058521391335,0.000104228628114151,0.000731878995492509
62,AT1G01570,1.21070222933306,2.05244739387966,12.9635991191677,0.000317606020630275,0.00183948207830783
63,AT1G01580,0.213313357734502,6.05476344057615,0.424169705855295,0.514863741072555,0.643936378980793
64,AT1G01590,0.326443856166085,0.511357156630986,0.490823753596768,0.483560076800862,0.616841045227913
65,AT1G01600,0.392710054928654,2.61304077082287,2.53122847402097,0.111613290789402,0.208696537818063
66,AT1G01610,0.229780844519462,6.18910591863437,3.05504064954475,0.0804869810152151,0.162036420754183
67,AT1G01620,-1.01342885855246,9.45528592624721,16.9915023391601,3.75474898715117e-05,0.000311168583966449
68,AT1G01630,0.391959722127929,5.5528911204912,10.0027621072591,0.00156305614806602,0.00679836423529989
69,AT1G01640,0.450635333937211,3.49771948658074,6.18464595552037,0.0128863483372468,0.0379466173637025
70,AT1G01650,0.0480912551394307,5.61942618055237,0.203278733429762,0.652087261870376,0.757914242249581
