,genes,logFC,logCPM,LR,PValue,FDR
1,AT1G01010,0.121330587624303,3.56388512543527,0.68368505328135,0.4083206701791,0.857957542222508
2,AT1G01020,-0.0112298681397486,3.68231214594154,0.00422846409852795,0.948152788328986,0.992396330430511
3,AT1G01030,-0.0547138077723954,2.52883625157038,0.0761486912394993,0.782586067970988,0.968640491441142
4,AT1G01040,-0.14789307619782,6.25320468810336,3.65440371278059,0.0559211690015708,0.490514788872798
5,AT1G01050,-0.0223862317996665,6.33050902047712,0.0902924440841222,0.763805702263594,0.965408202959241
6,AT1G01060,-0.119233831131319,9.44570658723054,1.8989339171011,0.168197696176762,0.683941651517372
7,AT1G01070,-0.0388823454583776,4.63535082456219,0.097925680874777,0.754333242615497,0.963555987061046
9,AT1G01080,-0.0510009644588364,5.43929674790978,0.307233298152269,0.579382927331677,0.924408457426481
10,AT1G01090,-0.151624944096193,7.69898512179344,5.41071404384967,0.0200135280066236,0.333347407305014
11,AT1G01100,-0.00811733059074479,7.47689564876456,0.00724672998227405,0.932159846987071,0.991706575485785
12,AT1G01110,-0.0220987101406946,2.83457237425758,0.0143692702988325,0.904584631463292,0.988775118185811
14,AT1G01120,-0.428285451950625,7.05931315080649,7.90904543756518,0.00491882178425969,0.179402365254462
15,AT1G01130,-0.829106463820907,1.39305365300334,9.38090904617608,0.00219256798413324,0.127831491618601
16,AT1G01140,-0.0234583339299619,5.95220933798505,0.0980188432100331,0.754220178582919,0.963555987061046
17,AT1G01150,-0.103181721073381,-0.44677293302991,0.0135323153116964,0.907392214877927,0.988814080378269
18,AT1G01160,0.0100604968826903,4.76610397716375,0.0109668534019054,0.916595812988573,0.990093956095425
19,AT1G01170,-0.0352258881215501,4.77666243830193,0.0885995242217579,0.765965177652513,0.966158049257533
20,AT1G01180,-0.0503809821609043,4.60631445347685,0.174294967461721,0.676322605707107,0.94761156103007
21,AT1G01190,0.40787308496498,3.20872418237654,5.68391346294847,0.0171211380584906,0.311537899004746
22,AT1G01200,-0.235148977371522,1.11319186663022,0.442389807989143,0.505971246520054,0.900900037803453
23,AT1G01210,-0.424751066984819,2.36615451766612,2.74514246737331,0.0975503823107478,0.587927905022931
24,AT1G01220,-0.108379764305257,5.16590387634944,1.58438190449459,0.208130642900271,0.722815021001222
25,AT1G01225,0.246329632707231,1.66375175730176,0.566868319277752,0.451506053380105,0.878151121783691
26,AT1G01230,0.126952265966199,4.18656367934638,1.44428464260029,0.229447248652097,0.744649758753186
27,AT1G01240,-0.0594442380524993,5.59976657634724,0.376167617747861,0.539661432694556,0.910995597363584
28,AT1G01250,-1.31800208463556,0.796738124226339,8.76022047608898,0.00307871828534983,0.147752208746651
29,AT1G01260,0.0251903219086476,4.30827622662909,0.0454091101390492,0.831253539608099,0.976165731561716
31,AT1G01290,-0.129097290324497,3.61606284543603,0.838816509355748,0.359735469215739,0.829367287863453
32,AT1G01300,0.012713284848761,5.56006144628216,0.0233365828910337,0.878585051153499,0.985538789972705
35,AT1G01320,0.0463212465114798,9.04584997163033,0.154059513043176,0.694685740648073,0.951533602951586
36,AT1G01340,0.196852563363191,4.88889009806926,1.96608280306948,0.160864264907029,0.674007382158465
37,AT1G01350,0.124136059574623,3.9210576923576,1.13660299255438,0.286371278277154,0.786307980022309
38,AT1G01355,0.279666741315097,0.0669430149997477,0.26395954494322,0.60741285101385,0.933353510339418
39,AT1G01360,-0.137511861399095,4.33153927922653,1.55458939278412,0.212459199040163,0.727121597284615
40,AT1G01370,-0.0889559084731527,1.79610605776198,0.103350079470779,0.747845854197146,0.962954185718524
41,AT1G01380,-0.742332400133606,0.430519779542109,1.97948313783067,0.159444867715493,0.672491377526145
42,AT1G01390,-0.509698793863301,2.90520158130535,4.35080818410574,0.0369913880949501,0.423400504574023
45,AT1G01420,0.0689398002325971,3.93239257012192,0.256106512781228,0.612807740266555,0.934530167034413
46,AT1G01430,-0.195796396019977,6.75247343391055,4.0023579279064,0.045436657371336,0.454964722163677
47,AT1G01440,-0.0211490887615239,4.94865757078229,0.0522025772325243,0.8192740096113,0.973322647184453
